,t,label
3,God said Let there be light and there was light,0.0
8,God called the expanse sky There was evening and there was morning a second day,0.0
12,The earth brought forth grass herbs yielding seed after their kind and trees bearing fruit with its seed in it after their kind and God saw that it was good,0.0
13,There was evening and there was morning a third day,0.0
15,and let them be for lights in the expanse of sky to give light on the earth and it was so,0.0
30,To every animal of the earth and to every bird of the sky and to everything that creeps on the earth in which there is life I have given every green herb for food And it was so,0.0
32,The heavens and the earth were finished and all the host of them,0.0
35,This is the history of the generations of the heavens and of the earth when they were created in the day that Yahweh God made earth and the heavens,0.0
44,The name of the second river is Gihon the same river that flows through the whole land of Cush,0.0
52,Yahweh God caused a deep sleep to fall on the man and he slept and he took one of his ribs and closed up the flesh in its place,0.0
56,They were both naked the man and his wife and were not ashamed,0.0
57,Now the serpent was more subtle than any animal of the field which Yahweh God had made He said to the woman Yes has God said You shall not eat of any tree of the garden,0.0
59,but of the fruit of the tree which is in the midst of the garden God has said You shall not eat of it neither shall you touch it lest you die,0.0
65,Yahweh God called to the man and said to him Where are you,0.0
74,Thorns also and thistles will it bring forth to you and you will eat the herb of the field,0.0
80,So he drove out the man and he placed Cherubs at the east of the garden of Eden and the flame of a sword which turned every way to guard the way to the tree of life,0.0
88,Cain said to Abel his brother Lets go into the field It happened when they were in the field that Cain rose up against Abel his brother and killed him,0.0
96,Cain went out from Yahwehs presence and dwelt in the land of Nod on the east of Eden,0.0
97,Cain knew his wife She conceived and gave birth to Enoch He built a city and called the name of the city after the name of his son Enoch,0.0
99,Lamech took two wives the name of the one was Adah and the name of the other Zillah,0.0
103,Lamech said to his wives Adah and Zillah Hear my voice You wives of Lamech listen to my speech For I have slain a man for wounding me A young man for bruising me,0.0
114,All the days of Seth were nine hundred twelve years then he died,0.0
116,Enosh lived after he became the father of Kenan eight hundred fifteen years and became the father of sons and daughters,0.0
120,and all the days of Kenan were nine hundred ten years then he died,0.0
122,Mahalalel lived after he became the father of Jared eight hundred thirty years and became the father of sons and daughters,0.0
125,Jared lived after he became the father of Enoch eight hundred years and became the father of sons and daughters,0.0
133,All the days of Methuselah were nine hundred sixtynine years then he died,0.0
140,that Gods sons saw that mens daughters were beautiful and they took for themselves wives of all that they chose,0.0
141,Yahweh said My Spirit will not strive with man forever because he also is flesh yet will his days be one hundred twenty years,0.0
144,Yahweh was sorry that he had made man on the earth and it grieved him in his heart,0.0
148,Noah became the father of three sons Shem Ham and Japheth,0.0
157,Of every living thing of all flesh you shall bring two of every sort into the ark to keep them alive with you They shall be male and female,0.0
158,Of the birds after their kind of the cattle after their kind of every creeping thing of the ground after its kind two of every sort shall come to you to keep them alive,0.0
162,You shall take seven pairs of every clean animal with you the male and his female Of the animals that are not clean take two the male and his female,0.0
170,It happened after the seven days that the waters of the flood came on the earth,0.0
185,God remembered Noah all the animals and all the cattle that were with him in the ark and God made a wind to pass over the earth The waters subsided,0.0
189,The waters receded continually until the tenth month In the tenth month on the first day of the month the tops of the mountains were seen,0.0
192,He sent forth a dove from him to see if the waters were abated from off the surface of the ground,0.0
193,but the dove found no place to rest her foot and she returned to him into the ark for the waters were on the surface of the whole earth He put forth his hand and took her and brought her to him into the ark,0.0
201,Bring forth with you every living thing that is with you of all flesh including birds cattle and every creeping thing that creeps on the earth that they may breed abundantly in the earth and be fruitful and multiply on the earth,0.0
202,Noah went forth with his sons his wife and his sons wives with him,0.0
208,The fear of you and the dread of you will be on every animal of the earth and on every bird of the sky Everything that the ground teems with and all the fish of the sea are delivered into your hand,0.0
214,God spoke to Noah and to his sons with him saying,0.0
218,God said This is the token of the covenant which I make between me and you and every living creature that is with you for perpetual generations,0.0
223,God said to Noah This is the token of the covenant which I have established between me and all flesh that is on the earth,0.0
235,All the days of Noah were nine hundred fifty years then he died,0.0
