,t,label
23146,The book of the generation of Jesus ChristChrist Greek and Messiah Hebrew both mean Anointed One the son of David the son of Abraham,0
23147,Abraham became the father of Isaac Isaac became the father of Jacob Jacob became the father of Judah and his brothers,0
23148,Judah became the father of Perez and Zerah by Tamar Perez became the father of Hezron Hezron became the father of Ram,0
23149,Ram became the father of Amminadab Amminadab became the father of Nahshon Nahshon became the father of Salmon,0
23150,Salmon became the father of Boaz by Rahab Boaz became the father of Obed by Ruth Obed became the father of Jesse,0
23151,Jesse became the father of David the king David became the father of Solomon by her who had been the wife of Uriah,0
23152,Solomon became the father of Rehoboam Rehoboam became the father of Abijah Abijah became the father of Asa,0
23153,Asa became the father of Jehoshaphat Jehoshaphat became the father of Joram Joram became the father of Uzziah,0
23154,Uzziah became the father of Jotham Jotham became the father of Ahaz Ahaz became the father of Hezekiah,0
23155,Hezekiah became the father of Manasseh Manasseh became the father of Amon Amon became the father of Josiah,0
23156,Josiah became the father of Jechoniah and his brothers at the time of the exile to Babylon,0
23157,After the exile to Babylon Jechoniah became the father of Shealtiel Shealtiel became the father of Zerubbabel,0
23158,Zerubbabel became the father of Abiud Abiud became the father of Eliakim Eliakim became the father of Azor,0
23159,Azor became the father of Sadoc Sadoc became the father of Achim Achim became the father of Eliud,0
23160,Eliud became the father of Eleazar Eleazar became the father of Matthan Matthan became the father of Jacob,0
23161,Jacob became the father of Joseph the husband of Mary from whom was born JesusJesus is a Greek variant of the Jewish name Yehoshua which means Yah saves Jesus is also the masculine form of Yeshuah which means Salvation who is called Christ,0
23162,So all the generations from Abraham to David are fourteen generations from David to the exile to Babylon fourteen generations and from the carrying away to Babylon to the Christ fourteen generations,0
23163,Now the birth of Jesus Christ was like this for after his mother Mary was engaged to Joseph before they came together she was found pregnant by the Holy Spirit,0
23164,Joseph her husband being a righteous man and not willing to make her a public example intended to put her away secretly,0
23165,But when he thought about these things behold an angel of the Lord appeared to him in a dream saying Joseph son of David dont be afraid to take to yourself Mary your wife for that which is conceived in her is of the Holy Spirit,0
23166,She shall bring forth a son You shall call his name Jesus for it is he who shall save his people from their sins,0
23167,Now all this has happened that it might be fulfilled which was spoken by the Lord through the prophet saying,0
23168,Behold the virgin shall be with child And shall bring forth a son They shall call his name Immanuel Which is being interpreted God with us,0
23169,Joseph arose from his sleep and did as the angel of the Lord commanded him and took his wife to himself,0
23170,and didnt know her sexually until she had brought forth her firstborn son He named him Jesus,0
23171,Now when Jesus was born in Bethlehem of Judea in the days of Herod the king behold wise menThe word for wise men magoi can also mean teachers priests physicians astrologers seers interpreters of dreams or sorcerers from the east came to Jerusalem saying,0
23172,Where is he who is born King of the Jews For we saw his star in the east and have come to worship him,0
23173,When Herod the king heard it he was troubled and all Jerusalem with him,0
23174,Gathering together all the chief priests and scribes of the people he asked them where the Christ would be born,0
23175,They said to him In Bethlehem of Judea for thus it is written through the prophet,0
23176,You Bethlehem land of Judah Are in no way least among the princes of Judah For out of you shall come forth a governor Who shall shepherd my people Israel,0
23177,Then Herod secretly called the wise men and learned from them exactly what time the star appeared,0
23178,He sent them to Bethlehem and said Go and search diligently for the young child When you have found him bring me word so that I also may come and worship him,0
23179,They having heard the king went their way and behold the star which they saw in the east went before them until it came and stood over where the young child was,0
23180,When they saw the star they rejoiced with exceedingly great joy,0
23181,They came into the house and saw the young child with Mary his mother and they fell down and worshiped him Opening their treasures they offered to him gifts gold frankincense and myrrh,0
23182,Being warned in a dream that they shouldnt return to Herod they went back to their own country another way,0
23183,Now when they had departed behold an angel of the Lord appeared to Joseph in a dream saying Arise and take the young child and his mother and flee into Egypt and stay there until I tell you for Herod will seek the young child to destroy him,0
23184,He arose and took the young child and his mother by night and departed into Egypt,0
23185,and was there until the death of Herod that it might be fulfilled which was spoken by the Lord through the prophet saying Out of Egypt I called my son,0
23186,Then Herod when he saw that he was mocked by the wise men was exceedingly angry and sent out and killed all the male children who were in Bethlehem and in all the surrounding countryside from two years old and under according to the exact time which he had learned from the wise men,0
23187,Then that which was spoken by Jeremiah the prophet was fulfilled saying,0
23188,A voice was heard in Ramah Lamentation weeping and great mourning Rachel weeping for her children She wouldnt be comforted Because they are no more,0
23189,But when Herod was dead behold an angel of the Lord appeared in a dream to Joseph in Egypt saying,0
23190,Arise and take the young child and his mother and go into the land of Israel for those who sought the young childs life are dead,0
23191,He arose and took the young child and his mother and came into the land of Israel,0
23192,But when he heard that Archelaus was reigning over Judea in the place of his father Herod he was afraid to go there Being warned in a dream he withdrew into the region of Galilee,0
23193,and came and lived in a city called Nazareth that it might be fulfilled which was spoken through the prophets He will be called a Nazarene,0
23194,In those days John the Baptizer came preaching in the wilderness of Judea saying,0
23195,Repent for the Kingdom of Heaven is at hand!,0
23196,For this is he who was spoken of by Isaiah the prophet saying The voice of one crying in the wilderness Make ready the way of the Lord Make his paths straight,0
23197,Now John himself wore clothing made of camels hair with a leather belt around his waist His food was locusts and wild honey,0
23198,Then people from Jerusalem all of Judea and all the region around the Jordan went out to him,0
23199,They were baptized by him in the Jordan confessing their sins,0
23200,But when he saw many of the Pharisees and Sadducees coming for his baptism he said to them You offspring of vipers who warned you to flee from the wrath to come,0
23201,Therefore bring forth fruit worthy of repentance!,0
23202,Dont think to yourselves We have Abraham for our father for I tell you that God is able to raise up children to Abraham from these stones,0
23203,Even now the axe lies at the root of the trees Therefore every tree that doesnt bring forth good fruit is cut down and cast into the fire,0
23204,I indeed baptize you in water for repentance but he who comes after me is mightier than I whose shoes I am not worthy to carry He will baptize you in the Holy SpiritTR and NU add and with fire,0
23205,His winnowing fork is in his hand and he will thoroughly cleanse his threshing floor He will gather his wheat into the barn but the chaff he will burn up with unquenchable fire,0
23206,Then Jesus came from Galilee to the Jordan to John to be baptized by him,0
23207,But John would have hindered him saying I need to be baptized by you and you come to me,0
23208,But Jesus answering said to him Allow it now for this is the fitting way for us to fulfill all righteousness Then he allowed him,0
23209,Jesus when he was baptized went up directly from the water and behold the heavens were opened to him He saw the Spirit of God descending as a dove and coming on him,0
23210,Behold a voice out of the heavens said This is my beloved Son with whom I am well pleased,0
23211,Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil,0
23212,When he had fasted forty days and forty nights he was hungry afterward,0
23213,The tempter came and said to him If you are the Son of God command that these stones become bread,0
23214,But he answered It is written Man shall not live by bread alone but by every word that proceeds out of the mouth of God,0
23215,Then the devil took him into the holy city He set him on the pinnacle of the temple,0
23216,and said to him If you are the Son of God throw yourself down for it is written He will give his angels charge concerning you and On their hands they will bear you up So that you dont dash your foot against a stone,0
23217,Jesus said to him Again it is written You shall not test the Lord your God,0
23218,Again the devil took him to an exceedingly high mountain and showed him all the kingdoms of the world and their glory,0
23219,He said to him I will give you all of these things if you will fall down and worship me,0
23220,Then Jesus said to him Get behind meTR and NU read Go away instead of Get behind me Satan! For it is written You shall worship the Lord your God and him only shall you serve,0
23221,Then the devil left him and behold angels came and ministered to him,0
23222,Now when Jesus heard that John was delivered up he withdrew into Galilee,0
23223,Leaving Nazareth he came and lived in Capernaum which is by the sea in the region of Zebulun and Naphtali,0
23224,that it might be fulfilled which was spoken through Isaiah the prophet saying,0
23225,The land of Zebulun and the land of Naphtali Toward the sea beyond the Jordan Galilee of the Gentiles,0
23226,The people who sat in darkness saw a great light To those who sat in the region and shadow of death To them light has dawned,0
23227,From that time Jesus began to preach and to say Repent! For the Kingdom of Heaven is at hand,0
23228,Walking by the sea of Galilee heTR reads Jesus instead of he saw two brothers Simon who is called Peter and Andrew his brother casting a net into the sea for they were fishermen,0
23229,He said to them Come after me and I will make you fishers for men,0
23230,They immediately left their nets and followed him,0
23231,Going on from there he saw two other brothers James the son of Zebedee and John his brother in the boat with Zebedee their father mending their nets He called them,0
23232,They immediately left the boat and their father and followed him,0
23233,Jesus went about in all Galilee teaching in their synagogues preaching the Gospel of the Kingdom and healing every disease and every sickness among the people,0
23234,The report about him went out into all Syria They brought to him all who were sick afflicted with various diseases and torments possessed with demons epileptics and paralytics and he healed them,0
23235,Great multitudes from Galilee Decapolis Jerusalem Judea and from beyond the Jordan followed him,0
23236,Seeing the multitudes he went up onto the mountain When he had sat down his disciples came to him,0
23237,He opened his mouth and taught them saying,0
23238,Blessed are the poor in spirit For theirs is the Kingdom of Heaven,0
23239,Blessed are those who mourn For they shall be comforted,0
23240,Blessed are the gentle For they shall inherit the earth,0
23241,Blessed are those who hunger and thirst after righteousness For they shall be filled,0
23242,Blessed are the merciful For they shall obtain mercy,0
23243,Blessed are the pure in heart For they shall see God,0
23244,Blessed are the peacemakers For they shall be called children of God,0
